avi,BOOK NAME,AUTHOR NAME,GENRE,RATING,COMMENT,VERIFIED
285,The Hidden Hindu,Akshat Gupta,Fiction/Mythological Fiction,,,Y
286,The Complete Book of Yoga,Swami Vivekananda,Yoga/Philosophy,,,Y
287,Zero to One,Peter Thiel,Business/Entrepreneurship,,,Y
288,25 Greatest Speeches of Swami Vivekananda,Swami Vivekananda,Philosophy/Spirituality,,,Y
289,The Celestine Prophecy,James Redfield,Fiction/Spirituality,,,Y
290,I Am That,Sri Nisargadatta Maharaj,Philosophy/Spirituality,,,Y
291,The Old Man and His God,Sudha Murty,Fiction/Short Stories,,,Y
292,Exhalation,Ted Chiang,Science Fiction/Short Stories,,,Y
293,Ashtavakra Gita,Gurudev Sri Sri Ravi Shankar,Philosophy/Spirituality,,,Y
294,The Blocksize War,Jonathan Bier,Technology/Finance,,,Y
295,The Cryptopians,Laura Shin,Technology/Non-fiction,,,Y
296,Out of the Ether,Leising,Technology/Finance,,,Y
297,Mudras,Gertrud Hirschi,Health/Spirituality,,,Y
298,Luminous Darkness,Deborah Eden Tull,Spirituality/Personal Growth,,,Y
299,The Untethered Soul Guided Journal,Michael A. Singer,Self-help/Spirituality,,,Y
300,Work,James Suzman,Non-fiction/Sociology,,,Y
301,Jewel in the Lotus: Deeper Aspects of Hinduism,Sri M,Religion/Philosophy,,,Y
302,What You Are Looking For Is in the Library,Michiko Aoyama,Fiction/Inspirational,,,Y
303,When the Emperor Was Divine,Julie Otsuka,Fiction/Historical,,,Y
304,The Gaming Mind,Alexander Kriss,Psychology/Non-fiction,,,Y
305,Moola Bandha: The Master Key,Swami Buddhananda,Yoga/Spirituality,,,Y
306,The Revolution That Wasn't,Spencer Jakab,Business/Finance,,,Y
307,The Tyranny of Merit,Michael J. Sandel,Philosophy/Politics,,,Y
308,Chakras: Wheels of Life,Anodea Judith,Health/Spirituality,,,Y
309,Midnights with the Mystic,Sadhguru with Cheryl Simone,Spirituality/Autobiography,,,Y
310,Light on Life,"Hart Defouw, Robert Svoboda",Health/Spirituality,,,Y
311,A Man Called Ove,Fredrik Backman,Fiction/Contemporary,,,Y
312,The Secret Lives of Booksellers and Librarians,James Patterson,Fiction/Short Stories,,,Y
313,Swara Yoga,Swami Muktibodhananda,Health/Spirituality,,,Y
314,Eklo,Buddhi Sagar,Literary Fiction,,,Y
315,The Living Goddess,Isabella Tree,Non-fiction/Cultural Studies,,,Y
316,Maya,Acharya Prashant,Philosophy/Spirituality,,,Y
317,The Age of Cryptocurrency,"Paul Vigna, Michael J. Casey",Technology/Finance,,,Y
318,The Infinite Machine,Camila Russo,Technology/Finance,,,Y
319,The Age of Surveillance Capitalism,Shoshana Zuboff,Technology/Sociology,,,Y
320,Intelligence Beyond Thought,Dada Gavand,Philosophy/Spirituality,,,Y
321,All Roads Lead North,Amish Raj Mulmi,Non-fiction / Travel & Exploration,,,Y
322,Greek Myths,Martin J. Dougherty,Mythology / History,,,Y
323,Classical Mythology,Various Authors,Mythology,,,Y
324,"Guns, Germs, and Steel",Jared Diamond,Non-fiction / History,,,Y
325,Grow Rich with the Power of Your Subconscious Mind,Dr. Joseph Murphy,Self-help / Personal Development,,,Y
326,Money Men,Dan McCrum,Non-fiction / Business & Finance,,,Y
327,The Complete Works of Swami Vivekananda (Volumes 1-9),Swami Vivekananda,Philosophy / Spirituality,,,Y
328,Principles: Life & Work,Ray Dalio,Non-fiction / Business & Finance,,,Y
329,Crossing the Chasm,Geoffrey A. Moore,Business / Technology,,,Y
330,Alibaba: The House that Jack Ma Built,Duncan Clark,Biography / Business,,,Y
331,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,Non-fiction / Investigative Journalism,,,Y
332,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,Non-fiction / Business & Leadership,,,Y
333,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,Biography / Technology,,,Y
334,Boomerang: Travels in the New Third World,Michael Lewis,Non-fiction / Economics,,,Y
335,Fire and Fury: Inside the Trump White House,Michael Wolff,Non-fiction / Political Science,,,Y
336,"Machine, Platform, Crowd: Harnessing Our Digital Future","Andrew McAfee, Erik Brynjolfsson",Non-fiction / Technology & Innovation,,,Y
337,The Dragon and the Elephant,David Smith,Non-fiction / Economics,,,Y
338,The Hard Thing About Hard Things,Ben Horowitz,Non-fiction / Business & Leadership,,,Y
339,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,Biography / Business,,,Y
340,Wild Ride: Inside Uber's Quest for World Domination,Adam Lashinsky,Non-fiction / Business & Technology,,,Y
341,The Greatest Generation,Tom Brokaw,Non-fiction / History,,,Y
342,Unleashing the Vajra,Sujeev Shakya,Non-fiction / Business & Economics,,,Y
343,The Box: How the Shipping Container Made the World Smaller,Marc Levinson,Non-fiction / History,,,Y
344,Money: The True Story of a Made-Up Thing,Jacob Goldstein,Non-fiction / Economics,,,Y
345,"Hatching Twitter: A True Story of Money, Power, Friendship, and Betrayal",Nick Bilton,Non-fiction / Technology,,,Y
346,"Loonshots: How to Nurture the Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries",Safi Bahcall,Non-fiction / Business & Innovation,,,Y
347,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All","Jim Collins, Morten T. Hansen",Non-fiction / Business & Leadership,,,Y
348,The Rise and Fall of the Great Powers,Paul Kennedy,Non-fiction / History,,,Y
349,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,Non-fiction / Philosophy,,,Y
350,Invention: A Life,James Dyson,Non-fiction / Biography,,,Y
351,Hisila,Hisila Yami,Non-fiction / Biography,,,Y
352,Pratik,Various Authors,Non-fiction / Political Science,,,Y
353,The Contrarian: Peter Thiel and Silicon Valley's Pursuit of Power,Max Chafkin,Biography / Technology,,,Y
354,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty","Daron Acemoglu, James A. Robinson",Non-fiction / Economics,,,Y
355,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,Biography / Business,,,Y
356,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Non-fiction / Business,,,Y
357,Barbarians at the Gate: The Fall of RJR Nabisco,"Bryan Burrough, John Helyar",Non-fiction / Business,,,Y
358,Linked: The New Science of Networks,Albert-László Barabási,Non-fiction / Science,,,Y
359,Fatalism and Development,,,,,N
360,Upstream: The Quest to Solve Problems Before They Happen,Dan Heath,Non-fiction / Self-Help,,,Y
361,Primal Leadership: Realizing the Power of Emotional Intelligence,"Daniel Goleman, Richard Boyatzis, Annie McKee",Non-fiction / Leadership,,,Y
362,Dream Machine,,,,,N
363,The New Confessions of an Economic Hit Man,John Perkins,Non-fiction / Politics,,,Y
364,Relativity: The Special and the General Theory,Albert Einstein,Non-fiction / Science,,,Y
365,The Nepal Nexus,Sudheer Sharma,Non-fiction / Political Science,,,Y
366,Liar's Poker: Rising Through the Wreckage on Wall Street,Michael Lewis,Non-fiction / Business,,,Y
367,The Big Short: Inside the Doomsday Machine,Michael Lewis,Non-fiction / Economics,,,Y
368,Only the Paranoid Survive: How to Exploit the Crisis Points that Challenge Every Company,Andrew S. Grove,Non-fiction / Business & Management,,,Y
369,Where Wizards Stay Up Late: The Origins of the Internet,"Katie Hafner, Matthew Lyon",Non-fiction / Technology,,,Y
370,Fear and Do It Anyway,Susan Jeffers,Non-fiction / Self-Help,,,Y
371,The Wizard of Menlo Park: How Thomas Alva Edison Invented the Modern World,Randall E. Stross,Non-fiction / Biography,,,Y
372,Landownership in Nepal,Mahesh C. Regmi,Non-fiction / History,,,Y
373,The Art of Doing: How Superachievers Do What They Do and How They Do It So Well,"Camille Sweeney, Josh Gosfield",Non-fiction / Business,,,Y
374,How the BJP Wins: Inside India's Greatest Election Machine,Prashant Jha,Non-fiction / Political Science,,,Y
375,History of Nepal,Daniel Wright,Non-fiction / History,,,Y
376,The Last Lecture,"Randy Pausch, Jeffrey Zaslow",Non-fiction / Self-Help,,,Y
377,When to Rob a Bank,"Steven D. Levitt, Stephen J. Dubner",Non-fiction / Business & Economics,,,Y
378,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,Non-fiction / Business,,,Y
379,Smart Retail: Winning Ideas and Strategies from the Most Successful Retailers in the World,Richard Hammond,Non-fiction / Personal Development,,,Y
380,Extreme Ownership: How U.S. Navy SEALs Lead and Win,"Jocko Willink, Leif Babin",Non-fiction / Military,,,Y
381,"Extreme Economies: Survival, Failure, Future",Richard Davies,Non-fiction / Economics,,,Y
382,The Making of Prince of Persia: Journals 1985-1993,Jordan Mechner,Non-fiction / Memoir,,,Y
383,How to Play Piano,Roger Evans,Non-fiction / Music Instruction,,,Y
384,iih,iih,Non-fiction / Memoir,,,Y
385,World Religions: The Great Faiths Explored & Explained,John Bowker,Non-fiction / Religion,,,Y
386,Dalit: A Quest for Dignity,Unknown,Non-fiction / Sociology,,,N
387,The Diary of a Young Girl,Anne Frank,Biography / Memoir,,,Y
388,How to Turn Down a Billion Dollars,Billy Gallagher,Non-fiction / Business,,,Y
389,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,Memoir / Adventure,,,Y
390,The Art of Thinking Clearly,Rolf Dobelli,Non-fiction / Psychology,,,Y
391,Anthem,Ayn Rand,Fiction / Philosophy,,,Y
392,The HP Way,David Packard,Non-fiction / Business,,,Y
393,The Last Lecture,Randy Pausch,Non-fiction / Inspirational,,,Y
394,Think and Grow Rich,Napoleon Hill,Self-help / Personal Development,,,Y
395,Thierry Henry: Lonely at the Top,Philippe Auclair,Biography / Sports,,,Y
396,Think Like A Freak,,,,,N
397,The Ascent of Money,Niall Ferguson,Non-fiction / Economics,,,Y
398,How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,Non-fiction / Self-help,,,Y
399,Evicted: Poverty and Profit in the American City,Matthew Desmond,Non-fiction / Sociology,,,Y
400,The Conspiracy of Silence,"Sumeet Singhal, Sanheev Malhotra",Non-fiction / Unknown,,,Y
401,Forget Kathmandu,Manjushree Thapa,Fiction / History,,,Y
402,Start With Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,Non-fiction / Business & Leadership,,,Y
403,Spark Joy,Marie Kondo,Non-fiction / Self-help,,,Y
404,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,Non-fiction / Adventure,,,Y
405,The Constitution of Nepal (2015),"Tara Prasad Timalsina, Manish Kumar Shrestha",Law / Political Science,,,Y
406,The Greatest Generation,Tom Brokaw,Non-fiction / History,,,Y
407,Reinventing Organizations,Frederic Laloux,Non-fiction / Business & Management,,,Y
408,The Soul of the Rhino,"Hemanta Mishra, Jim Ottaway Jr.",Non-fiction / Nature & Wildlife,,,Y
409,The Art of Thinking Clearly,Rolf Dobelli,Non-fiction / Psychology,,,Y
410,Turn Your Mate into Your Soulmate,Arielle Ford,Non-fiction / Relationships,,,Y
411,The Medici Effect,Frans Johansson,Non-fiction / Innovation & Creativity,,,Y
412,A World of Three Zeros,Muhammad Yunus,Non-fiction / Economics,,,Y
413,Trailblazer,"Marc Benioff, Monica Langley",Biography / Business,,,Y
414,The Tutor of History,Manjushree Thapa,Fiction,,,Y
415,Nepal's Economy in Disarray,"Pushkar Bajracharya, Mohan Das Manandhar, Rojan Bajracharya",Non-fiction / Economics,,,Y
416,More Money Than God,Sebastian Mallaby,Non-fiction / Finance,,,Y
417,The Idea Factory,Jon Gertner,Non-fiction / Technology & Innovation,,,Y
418,The Emperor of All Maladies,Siddhartha Mukherjee,Non-fiction / Medicine,,,Y
419,Dare to Lead,Brené Brown,Non-fiction / Leadership,,,Y
420,Global Citizen from Gulmi,Kul Chandra Gautam,Non-fiction / Biography,,,Y
421,The Tiger and the Ruby,Kief Hillsbery,Non-fiction / History,,,Y
422,Startup Nation,"Dan Senor, Saul Singer",Non-fiction / Business,,,Y
423,Stubborn Attachments,Tyler Cowen,Non-fiction / Economics,,,Y
424,The Third Wave,Steve Case,Non-fiction / Technology,,,Y
425,Mindfulness,"Mark Williams, Danny Penman",Non-fiction / Self-help,,,Y
426,Battles of the New Republic,Prashant Jha,Non-fiction / Political Science,,,Y
427,Ready for Anything,David Allen,,,,N
428,How to Win Friends & Influence People,Dale Carnegie,Non-fiction / Self-help,,,Y
429,Rumi's Secret,Brad Gooch,Biography / Poetry,,,Y
430,The Good Jobs Strategy,Zeynep Ton,Non-fiction / Business & Economics,,,Y
431,"The General Theory of Employment, Interest, and Money",John Maynard Keynes,Non-fiction / Economics,,,Y
432,The Right Side of History,Ben Shapiro,Non-fiction / Philosophy,,,Y
433,Changing Livelihoods,Jagannath Adhikari,Non-fiction / Sociology,,,Y
434,The Art of Doing Science and Engineering: Learning to Learn,Richard W. Hamming,Non-fiction / Science & Engineering,,,Y
435,"Design Think, Make Break Repeat","Martin Tomitsch, Cara Wrigley",Non-fiction / Design & Innovation,,,Y
436,To End in Fire,Nadia Hashimi,Fiction / Political Thriller,,,Y
437,Hygge Puzzles,Moore McDowell,Non-fiction / Lifestyle,,,Y
438,Breakout Nations,Ruchir Sharma,Non-fiction / Economics,,,Y
439,Get Together,"Bailey Richardson, Kevin Huynh",Non-fiction / Community Building,,,Y
440,Democracy on the Road,Ruchir Sharma,Non-fiction / Political Science,,,Y
441,Living an Inspired Life,Dr. Wayne W. Dyer,Non-fiction / Self-help,,,Y
442,Conspiracy,Ryan Holiday,Non-fiction / Psychology,,,Y
443,Business Icons Who Changed The World,Michael Hiltzik,Non-fiction / Business & Economics,,,Y
444,What’s Mine Is Yours,Rachel Botsman,Non-fiction / Economics,,,Y
445,Barbarians to Bureaucrats,Lawrence M. Miller,Non-fiction / Business & Management,,,Y
446,Jugaad Innovation,"Navi Radjou, Jaideep Prabhu",Non-fiction / Business & Innovation,,,Y
447,Finite and Infinite Games,James P. Carse,Non-fiction / Philosophy,,,Y
448,Getting It Done,Roger Fisher,Non-fiction / Business & Leadership,,,Y
449,Leaders Eat Last,Simon Sinek,Non-fiction / Leadership,,,Y
450,Where Good Ideas Come From,Steven Johnson,Non-fiction / Innovation,,,Y
451,Long Walk to Freedom,Nelson Mandela,Biography / Autobiography,,,Y
452,The Fifth Risk,Michael Lewis,Non-fiction / Political Science,,,Y
453,Good to Great,Jim Collins,Non-fiction / Business & Leadership,,,Y
454,Brave New Work,Aaron Dignan,Non-fiction / Business,,,Y
455,Tim Cook: The Genius Who Took Apple to the Next Level,Leander Kahney,Biography / Business,,,Y
456,Walt Disney: The Triumph of the American Imagination,Neal Gabler,Biography / History,,,Y
457,A Long Way Gone,Ishmael Beah,Biography / Memoir,,,Y
458,The Price of Civilization,Jeffrey D. Sachs,Non-fiction / Economics,,,Y
459,The Sellout,Paul Beatty,Fiction / Satire,,,Y
460,All of Us in Our Own Lives,Manjushree Thapa,Fiction,,,Y
461,The World is Flat,Thomas L. Friedman,Non-fiction / Economics,,,Y
462,Road Map of the Development of Nepal,Pushkar Bajracharya,Non-fiction / Development,,,Y
463,Bichar ra Anubhuti,,,,,N
464,The Cultural Politics of Markets,Katharine Neilson Rankin,Non-fiction / Sociology,,,Y
465,Economyths,David Orrell,Non-fiction / Economics,,,Y
466,Little Princes,Conor Grennan,Non-fiction / Memoir,,,Y
467,Speeches that made history,,,,,N
468,The Ride of a Lifetime,Robert Iger,Non-fiction / Business & Leadership,,,Y
469,Learned Optimism,Martin Seligman,Non-fiction / Psychology,,,Y
470,The Business of the 21st Century,Robert T. Kiyosaki,Non-fiction / Business & Economics,,,Y
471,Nothing Lasts Forever,Sidney Sheldon,Fiction / Thriller,,,Y
472,The Art of War,Sun Tzu,Non-fiction / Military Strategy,,,Y
473,A Culture of Growth,Joel Mokyr,Non-fiction / Economic History,,,Y
474,Cabals and Cartels,Rajib Upadhya,Non-fiction / Political Science,,,Y
475,Dealers of Lightning,Michael Hiltzik,Non-fiction / Technology & Innovation,,,Y
476,Dreams from My Father,Barack Obama,Biography / Memoir,,,Y
477,"Change Your Brain, Change Your Life",Daniel G. Amen,Non-fiction / Psychology,,,Y
478,The Tipping Point,Malcolm Gladwell,Non-fiction / Psychology,,,Y
479,Principle-Centered Leadership,Stephen R. Covey,Non-fiction / Business & Leadership,,,Y
480,The Game Changers,"Yuvnesh Modi, Rahul Kumar, Alok Kothari",Non-fiction / Business,,,Y
481,Permanent Record,Edward Snowden,Non-fiction / Memoir,,,Y
482,A Writer's Reference,"Diana Hacker, Nancy Sommers",Non-fiction / Writing,,,Y
483,The Undoing Project,Michael Lewis,Non-fiction / Psychology,,,Y
484,Julian Assange: The Unauthorised Autobiography,Julian Assange,Biography / Autobiography,,,Y
485,The Artist's Way,Julia Cameron,Non-fiction / Self-help,,,Y
486,Creative Construction,Gary P. Pisano,Non-fiction / Business & Innovation,,,Y
487,Skin in the Game,Nassim Nicholas Taleb,Non-fiction / Philosophy,,,Y
488,The Revolt of the Public,Martin Gurri,Non-fiction / Political Science,,,Y
489,Plagues and Peoples,William H. McNeill,Non-fiction / History,,,Y
490,Ninety Percent of Everything,Rose George,Non-fiction / Economics,,,Y
491,The Intelligent Investor,Benjamin Graham,Non-fiction / Business & Finance,,,Y
492,Schulz and Peanuts,David Michaelis,Biography / Comics,,,Y
493,The Inevitable,Kevin Kelly,Non-fiction / Technology & Future,,,Y
494,A Great Place to Work For All,,,,,N
495,The New New,,,,,N
496,Too Big to Fail,Andrew Ross Sorkin,Non-fiction / Business,,,Y
497,Branding India,Amitabh Kant,Non-fiction / Business & Branding,,,Y
498,The Silk Roads,Peter Frankopan,Non-fiction / History,,,Y
499,Narrative Economics,Robert J. Shiller,Non-fiction / Economics,,,Y
500,The Wikipedia Revolution,Andrew Lih,Non-fiction / Technology,,,Y
501,Too Small to Fail,R. James Breiding,Non-fiction / Business & Finance,,,Y
502,Change by Design,Tim Brown,Non-fiction / Design & Innovation,,,Y
503,The Silent Cry,Ludwig F. Stiller,Non-fiction / History,,,Y
504,The How of Happiness,Sonja Lyubomirsky,Non-fiction / Self-help,,,Y
505,The Cult of We,"Eliot Brown, Maureen Farrell",Non-fiction / Business,,,Y
506,Blitzscaling,"Reid Hoffman, Chris Yeh",Non-fiction / Business & Technology,,,Y
507,No Rules Rules,"Reed Hastings, Erin Meyer",Non-fiction / Business,,,Y
508,Spillover,David Quammen,Non-fiction / Science,,,Y
509,Moral Mazes,Robert Jackall,Non-fiction / Business,,,Y
510,This Time is Different,"Carmen Reinhart, Kenneth Rogoff",Non-fiction / Economics,,,Y
511,The Revenge of Geography,Robert D. Kaplan,Non-fiction / Political Science,,,Y
512,Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein",Non-fiction / Technology,,,Y
513,Engineers of Victory,Paul Kennedy,Non-fiction / History,,,Y
514,Beating the Street,Peter Lynch,Non-fiction / Business & Finance,,,Y
515,The Dream Machine,M. Mitchell Waldrop,Non-fiction / Technology,,,Y
516,Where is My Flying Car?,J. Storrs Hall,Non-fiction / Technology,,,Y
517,Forget Kathmandu,Manjushree Thapa,Fiction,,,Y
518,Into Thin Air,Jon Krakauer,Non-fiction/Adventure,,,Y
519,Empire of Cotton,Sven Beckert,History/Economics,,,Y
520,Daring Greatly,Brené Brown,Self-help/Psychology,,,Y
521,Salt: A World History,Mark Kurlansky,History,,,Y
522,The E Myth Revised,,,,,N
523,Stranger Than We Can Imagine,John Higgs,Science/History,,,Y
524,Hillbilly Elegy,J.D. Vance,Memoir/Sociology,,,Y
525,DNA: The Story of the Genetic Revolution,James Watson,Science/Biology,,,Y
526,Rules for Revolutionaries,Guy Kawasaki,Business/Self-help,,,Y
527,Prisoners of Geography,Tim Marshall,Geography/Politics,,,Y
528,Fight with Fat,Dr. Kamal Mahawar,Health,,,Y
529,Kathmandu Dilemma,Ranjit Rae,Non-fiction/Politics,,,Y
530,Dear America,Jose Antonio Vargas,Memoir/Politics,,,Y
531,Everything You Know About the Constitution Is Wrong,Edward James Snowden,Politics/History,,,Y
532,Little Bets,Peter Sims,Business/Creativity,,,Y
533,Brave New World,Aldous Huxley,Science Fiction/Dystopia,,,Y
534,My Quest for the Yeti,Reinhold Messner,Non-fiction/Adventure,,,Y
535,From Third World to First,Lee Kuan Yew,Memoir/Politics,,,Y
536,And We Came Outside and Saw the Stars Again,Various Authors,Non-fiction/Essays,,,Y
537,Micro Finance in NEPAL,R.K. Shah,Economics/Finance,,,Y
538,On Writing Well,William Zinsser,Writing/Reference,,,Y
539,The Industries of the Future,Alec Ross,Business/Technology,,,Y
540,Capital,Thomas Piketty,Economics/Politics,,,Y
541,The Innovator's Dilemma,Clayton M. Christensen,Business/Innovation,,,Y
542,Rising Strong,Brené Brown,Self-help/Psychology,,,Y
543,Poor Economics,"Abhijit V. Banerjee, Esther Duflo",Economics/Development,,,Y
544,Talk Like TED,Carmine Gallo,Business/Communication,,,Y
545,Leadership,Various Authors,Business/Leadership,,,Y
546,The Shock Doctrine,Naomi Klein,Politics/Economics,,,Y
547,The Wright Brothers,David McCullough,Biography/History,,,Y
548,Outliers,Malcolm Gladwell,Psychology/Sociology,,,Y
549,Building a StoryBrand,Donald Miller,Business/Marketing,,,Y
550,Rethink,Steven Poole,Philosophy/Non-fiction,,,Y
,,,,,,Y